Row Number,Number of Rooms,Size (m²),Floor,Price,District,Address,Date,Latitude,Longitude,Link
1,3.0,81.13,,от 41 781 950 〒,Нура р-н," Улы Дала 14, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1004699049
2,2.0,75.8,,от 57 304 800 〒,Есильский р-н," ​Аль-Фараби 3/2, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1004370013
3,3.0,118.07,,от 69 661 300 〒,Сарайшык р-н," Шамши Калдаяков 16, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/699607422
4,2.0,67.56,,от 58 371 840 〒,Нура р-н," Бухар жырау 20, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/697909161
5,3.0,107.94,,от 99 736 560 〒,Нура р-н," Е-899 3, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/697969344
6,2.0,64.6,,от 30 821 950 〒,Нура р-н," Е-36 5, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/683962804
7,1.0,48.0,6,19 800 000 〒,Сарыарка р-н," Богенбай батыра 24/1 — Сарыарка, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005341922
8,3.0,76.0,2,41 999 000 〒,Есильский р-н," Мангилик Ел 17 — Алматы, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/684619898
9,3.0,60.0,5,46 500 000 〒,Нура р-н," Култегин 4А, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006895678
10,2.0,59.0,1,24 000 000 〒,Алматы р-н," Аманжол Болекпаев 19 — Болекпаева Жургенова, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005623346
11,4.0,168.0,3,250 000 000 〒,Есильский р-н," Кунаева 5 — КТЖ, КМГ, БАЙТЕРЕК, RIXOS, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006723910
12,4.0,100.5,8,49 000 000 〒,Есильский р-н," Д. Кунаева 35 — МАНГИЛИК ЕЛ, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1004561109
13,2.0,64.31,,от 30 097 080 〒,Есильский р-н," Е-779 32/1, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1003884943
14,2.0,56.35,,от 22 540 000 〒,Сарайшык р-н," Сафуан Шаймерденов 1, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005683691
15,1.0,43.1,,от 32 497 400 〒,Есильский р-н," Хусейн бен Талал 37, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005837200
16,4.0,107.58,,от 56 479 500 〒,Есильский р-н," Е-321 6/2, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/761717059
17,4.0,132.68,,от 66 495 000 〒,Нура р-н," Улица Е 882, 7, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005148865
18,2.0,41.04,,от 26 142 480 〒,Нура р-н," Улы Дала 14, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1004698974
19,4.0,117.01,,от 68 684 870 〒,Сарайшык р-н," ул. Магжана Жумабаева, 38, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1000672985
20,1.0,39.0,5,23 000 000 〒,Есильский р-н," ул. Абикен Бектуров, 17 17 — Туран, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1007148253
21,3.0,84.0,9,62 000 000 〒,Нура р-н," Санжара Асфендиярова 3, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006962039
22,4.0,122.8,3,93 900 000 〒,Нура р-н," Кабанбай батыра 43А — Орынбор, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005705311
23,1.0,29.5,8,15 000 000 〒,Алматы р-н," Майлина 29 — Жумабаева, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1007153479
24,2.0,61.0,6,41 990 000 〒,Есильский р-н," Рыскулова 16а — Мангилик ел, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006327321
25,2.0,89.04,,от 69 273 120 〒,Есильский р-н," ​Аль-Фараби 3/2, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1004370019
26,1.0,37.57,,от 23 856 950 〒,Есильский р-н," Улы Дала, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/687812555
27,2.0,64.5,,от 52 156 400 〒,Нура р-н," Е-899 7, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/761098325
28,1.0,41.5,,от 11 827 500 〒,Сарыарка р-н," Н. Тлендиева 52, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/694458130
29,3.0,109.27,,от 77 144 620 〒,Нура р-н," Е-899 5/1, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/760697980
30,3.0,70.64,,от 64 564 960 〒,Есильский р-н," ​Аль-Фараби 3/2, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1004370272
